;outstanding_balance;age;dslp;dsldc;antiquity;feature;installment_amount;target
81;5700.0;56;53;76;2200;0.6842105263157895;100.0;1
82;16800.0;56;63;76;2200;0.6190476190476191;150.0;1
83;1000.0;56;130;76;100;1.0;100.0;0
84;500.0;40;61;60;400;1.3333333333333333;130.0;0
85;700.0;42;65;62;600;1.0;200.0;0
86;9400.0;77;110;97;300;1.4;300.0;0
87;3000.0;46;324;66;500;1.0;200.0;1
88;2200.0;42;85;62;200;0.6666666666666666;150.0;0
89;1100.0;60;73;80;400;0.55;70.0;0
90;2200.0;61;80;81;3900;0.7894736842105263;100.0;1
91;400.0;70;52;90;3000;0.8333333333333334;80.0;1
92;4100.0;34;82;54;400;3.5;200.0;0
93;1800.0;41;64;61;1000;0.5;150.0;0
94;4200.0;39;61;59;100;0.6666666666666666;120.0;0
95;5400.0;61;2539;81;2600;1.0;250.0;0
96;1800.0;55;83;75;500;0.6666666666666666;100.0;0
97;1200.0;63;140;83;700;1.5;200.0;1
98;2000.0;62;58;82;300;0.7;110.0;0
99;7500.0;45;476;65;600;2.0;250.0;0
100;700.0;59;602;79;500;1.0;200.0;1
101;4400.0;35;104;55;600;0.875;150.0;1
102;700.0;58;232;78;200;0.5;150.0;1
103;500.0;42;75;62;600;1.0;150.0;0
104;7600.0;69;78;89;200;0.6;450.0;0
105;5500.0;41;70;61;700;3.5;500.0;1
106;2700.0;53;61;73;700;1.75;250.0;0
107;3300.0;47;71;67;200;0.7142857142857143;150.0;0
108;9200.0;56;1971;76;1900;2.0;150.0;0
109;5400.0;61;114;81;2400;0.2909090909090909;150.0;0
110;1800.0;39;79;59;1700;0.8;110.0;0
111;2200.0;55;58;75;500;4.0;170.0;1
112;2800.0;56;55;76;1900;1.0;125.0;1
113;4000.0;36;660;56;600;1.0;200.0;0
114;800.0;74;61;94;700;1.25;120.0;0
115;2900.0;61;52;81;2700;0.75;120.0;0
116;7700.0;63;52;83;300;1.0;150.0;1
117;1000.0;54;3309;74;3300;1.0;60.0;0
118;1000.0;45;51;65;200;0.6666666666666666;100.0;0
119;5900.0;56;52;76;1900;1.5;150.0;0
120;1600.0;61;58;81;3700;0.5714285714285714;105.0;0
121;1900.0;46;52;66;3300;1.2142857142857142;160.0;0
122;4100.0;50;108;70;200;0.75;120.0;0
123;400.0;43;80;63;900;0.6666666666666666;100.0;1
124;2600.0;58;80;78;800;1.2;200.0;0
125;700.0;56;443;76;400;1.0;100.0;1
126;1800.0;45;80;65;600;1.0;200.0;0
127;1300.0;51;72;71;200;1.0;120.0;0
128;800.0;56;479;76;400;1.0;100.0;0
129;1500.0;54;64;74;500;1.0;150.0;0
130;15500.0;70;60;90;700;1.1428571428571428;250.0;1
132;1600.0;55;53;75;1900;0.6666666666666666;200.0;1
133;5900.0;70;86;90;100;0.2222222222222222;250.0;0
134;4000.0;70;59;90;600;0.6666666666666666;500.0;0
136;300.0;65;59;85;600;1.5;70.0;0
137;2000.0;48;53;68;600;0.4;75.0;0
138;1200.0;45;78;65;1400;0.4666666666666667;120.0;0
139;1100.0;61;80;81;2900;1.0;100.0;0
140;4500.0;55;52;75;500;3.0;250.0;0
141;3700.0;38;60;58;300;0.625;100.0;0
142;1000.0;44;52;64;400;1.0;130.0;0
143;6300.0;84;360;104;600;1.0;250.0;0
144;4800.0;84;54;104;600;1.3333333333333333;200.0;0
145;4800.0;45;73;65;600;1.5;350.0;0
146;800.0;63;55;83;500;0.6666666666666666;120.0;0
147;1200.0;40;671;60;600;0.3333333333333333;170.0;1
148;800.0;45;62;65;3200;0.75;80.0;0
149;1800.0;66;64;86;600;0.5;100.0;0
150;1300.0;31;319;51;500;2.0;120.0;0
151;3100.0;56;64;76;2000;1.0526315789473684;50.0;1
152;1500.0;52;60;72;500;1.0;100.0;1
153;1500.0;40;80;60;800;0.75;125.0;0
154;2800.0;49;60;69;600;1.5;120.0;1
155;6700.0;53;60;73;100;1.0;500.0;0
156;2300.0;64;3377;84;3300;1.0;150.0;0
157;5900.0;40;64;60;500;1.0;150.0;0
158;4100.0;61;60;81;600;1.1666666666666667;200.0;0
159;9000.0;44;77;64;100;2.0;250.0;0
160;4500.0;38;68;58;400;0.8421052631578947;350.0;1
161;1600.0;56;580;76;800;2.0;150.0;0
162;22800.0;63;464;83;400;1.0;300.0;1
163;2600.0;49;58;69;2000;0.6363636363636364;100.0;0
164;1900.0;41;79;61;1900;0.9473684210526315;105.0;1
165;1500.0;51;58;71;700;1.6666666666666667;180.0;1
166;700.0;52;64;72;1900;0.8666666666666667;75.0;1
167;700.0;43;61;63;600;3.5;100.0;0
168;4800.0;53;61;73;3100;0.7142857142857143;100.0;0
169;700.0;51;79;71;2700;0.8125;100.0;1
170;1800.0;40;238;60;500;3.0;300.0;0
171;1300.0;44;56;64;600;2.0;150.0;1
172;2800.0;53;486;73;400;1.0;200.0;0
173;9900.0;51;58;71;2100;0.8571428571428571;170.0;1
174;2900.0;42;58;62;300;0.8571428571428571;165.0;0
175;400.0;59;52;79;500;2.0;182.65;0
176;1500.0;56;58;76;500;0.5;110.0;0
177;2400.0;52;62;72;2600;0.5625;170.0;0
178;800.0;42;223;62;500;2.0;180.0;0
179;5500.0;61;66;81;200;0.875;160.0;0
180;5800.0;39;59;59;100;0.6666666666666666;200.0;0
181;6400.0;62;56;82;2300;0.5862068965517241;120.0;0
182;1600.0;48;458;68;400;2.0;130.0;1
183;1900.0;38;136;58;100;1.0;50.0;0
184;5000.0;53;492;73;400;2.0;250.0;0
185;4100.0;53;514;73;400;2.0;200.0;0
186;3600.0;69;300;89;200;0.3333333333333333;200.0;0
187;1300.0;44;59;64;500;0.6;130.0;0
188;1800.0;41;52;61;3400;1.5;120.0;0
189;6200.0;55;59;75;400;1.0;200.0;0
190;2000.0;71;74;91;600;1.5;225.0;0
191;700.0;55;53;75;400;3.0;125.0;1
192;1100.0;55;59;75;400;1.0;150.0;0
193;3200.0;64;59;84;2300;0.6;120.0;1
194;5800.0;40;65;60;200;0.8571428571428571;250.0;0
195;800.0;61;59;81;3100;0.8333333333333334;75.0;1
196;1100.0;46;53;66;400;0.5769230769230769;100.0;0
197;5200.0;50;139;70;100;1.0;300.0;0
198;300.0;61;61;81;2600;0.7419354838709677;20.0;1
199;2700.0;50;174;70;700;1.3333333333333333;200.0;0
200;20800.0;59;142;79;400;8.0;560.0;1
201;2200.0;73;52;93;400;3.0;350.0;1
202;2900.0;55;62;75;700;0.75;195.0;0
203;2400.0;38;78;58;700;0.5;180.0;0
204;2000.0;32;444;52;400;1.0;200.0;0
205;3300.0;47;51;67;500;1.75;150.0;1
206;2400.0;41;2196;61;2100;0.5;50.0;1
207;2700.0;46;77;66;600;1.0;100.0;1
208;1200.0;48;308;68;400;1.0;120.0;0
209;500.0;48;308;68;200;1.0;70.0;0
210;3500.0;75;85;95;3000;0.6666666666666666;120.0;1
211;1000.0;43;108;63;1700;1.8333333333333333;50.0;0
212;2300.0;68;137;88;100;1.0;190.0;0
213;1100.0;57;52;77;2000;0.5;170.0;0
214;2700.0;40;136;60;400;4.0;180.0;1
215;3200.0;66;3399;86;3300;1.0;170.0;1
216;1700.0;39;365;59;600;0.5;150.0;1
217;400.0;55;79;75;3200;0.6428571428571429;100.0;1
218;8200.0;44;81;64;700;0.6666666666666666;225.0;1
219;18500.0;57;81;77;3400;1.2;250.0;0
220;200.0;61;81;81;2700;0.8;50.0;0
221;900.0;41;169;61;600;0.75;150.0;0
222;3300.0;42;320;62;300;0.3333333333333333;150.0;0
223;1200.0;63;59;83;400;1.0;120.0;1
224;1600.0;53;194;73;500;3.0;150.0;0
225;1200.0;48;185;68;400;3.0;120.0;0
226;1900.0;53;54;73;500;1.0;200.0;1
227;2000.0;53;54;73;500;1.0;200.0;1
228;2800.0;47;143;67;100;1.0;100.0;0
229;7200.0;43;81;63;100;1.0;420.0;1
230;4200.0;39;68;59;500;4.0;250.0;1
231;5900.0;77;57;97;600;3.5;350.0;1
232;700.0;44;75;64;600;0.6666666666666666;120.0;0
233;2100.0;74;201;94;500;1.0;170.0;0
234;700.0;40;70;60;3300;2.0;100.0;0
235;9600.0;50;55;70;500;2.5;400.0;0
236;600.0;76;142;96;400;6.0;145.0;0
237;400.0;49;721;69;600;1.0;197.17;1
238;1600.0;73;79;93;400;2.0;220.0;1
239;2300.0;61;64;81;1800;1.5;100.0;0
240;800.0;49;51;69;2600;0.8571428571428571;50.0;0
241;900.0;41;450;61;400;0.5;150.0;0
242;3300.0;41;89;61;100;0.6666666666666666;150.0;1
243;6000.0;65;79;85;2700;0.6;150.0;0
244;1100.0;69;52;89;100;0.6666666666666666;100.0;1
245;5100.0;11;65;31;2400;0.4444444444444444;150.0;0
246;2900.0;52;80;72;500;0.75;170.0;0
247;1900.0;56;790;76;700;2.0;500.0;0
248;4000.0;62;631;82;600;1.0;100.0;0
249;1300.0;57;660;77;600;2.0;150.0;0
250;1600.0;50;3962;70;3900;2.0;100.0;0
251;1200.0;36;70;56;400;1.0;200.0;0
252;5100.0;45;550;65;500;2.0;150.0;0
253;700.0;63;77;83;600;1.0;100.0;1
254;5200.0;60;143;80;400;3.0;600.0;0
255;800.0;64;77;84;500;0.6086956521739131;50.0;1
256;1800.0;60;143;80;400;8.0;300.0;0
257;5800.0;42;277;62;400;1.0;180.0;1
258;3700.0;69;60;89;600;2.5;250.0;1
259;1700.0;28;61;48;700;0.5;260.0;0
260;2800.0;68;156;88;400;4.0;170.0;0
261;2700.0;43;624;63;600;1.0;120.0;0
262;2800.0;47;739;67;700;1.0;120.0;0
263;300.0;44;60;64;400;1.0;100.0;0
264;400.0;48;79;68;2200;0.8;80.0;1
265;8300.0;56;565;76;600;1.0;300.0;0
266;2200.0;45;81;65;3100;0.5;175.0;0
267;4000.0;56;62;76;500;2.0;200.0;0
268;1600.0;42;78;62;3100;1.0;150.0;0
269;2800.0;59;231;79;400;3.0;200.0;0
270;800.0;29;526;49;500;1.0;105.0;0
271;2700.0;58;635;78;800;1.0;450.0;0
272;2400.0;34;152;54;100;1.0;210.0;0
273;6300.0;61;1603;81;2300;1.0;100.0;1
274;3100.0;56;85;76;2400;1.1428571428571428;100.0;1
275;3000.0;43;85;63;800;1.6666666666666667;200.0;1
276;5800.0;58;63;78;500;1.0;300.0;0
277;12600.0;69;149;89;100;1.0;200.0;0
278;1000.0;65;61;85;700;2.3333333333333335;150.0;0
279;2200.0;59;69;79;400;1.0;200.0;1
280;2200.0;39;56;59;200;0.3076923076923077;180.0;0
281;2400.0;59;224;79;700;1.5;250.0;0
282;1900.0;41;107;61;100;2.0;500.0;0
283;8600.0;56;107;76;100;1.0;300.0;0
284;900.0;42;61;62;500;2.0;150.0;1
285;700.0;47;54;67;2100;0.8666666666666667;100.0;1
286;3700.0;54;121;74;100;1.0;500.0;0
287;2800.0;47;58;67;1900;0.6956521739130435;120.0;1
288;2500.0;77;107;97;100;1.0;100.0;0
289;1400.0;59;65;79;100;1.0;380.0;0
290;2300.0;48;76;68;600;0.6;200.0;0
291;3400.0;54;61;74;2200;1.0;120.0;0
292;1700.0;66;52;86;700;1.0;100.0;1
293;3600.0;61;52;81;2400;0.5;180.0;0
294;2300.0;53;202;73;100;1.0;150.0;0
295;4800.0;70;98;90;3000;0.625;100.0;0
296;1600.0;46;263;66;500;3.0;140.0;0
297;1800.0;42;59;62;300;1.0;120.0;0
298;1600.0;40;62;60;400;0.5;230.0;1
299;3500.0;47;63;67;1800;0.5217391304347826;120.0;0
300;3200.0;37;62;57;300;3.5;180.0;0
301;3500.0;47;482;67;500;0.14285714285714285;120.0;0
302;800.0;70;63;90;600;3.0;220.0;0
303;1900.0;58;63;78;2400;1.2666666666666666;75.0;1
304;3300.0;61;59;81;2600;1.0;160.0;0
305;4300.0;61;64;81;2500;0.6666666666666666;120.0;1
306;1400.0;45;78;65;3400;0.5925925925925926;85.0;0
307;1000.0;61;59;81;2400;0.7;100.0;1
308;10200.0;51;457;71;400;1.0;400.0;0
309;1100.0;40;389;60;400;1.0;200.0;1
310;45800.0;56;60;76;2700;1.3333333333333333;200.0;1
311;38100.0;56;60;76;2500;1.1818181818181819;200.0;1
312;52800.0;56;1974;76;1900;1.0;600.0;0
313;600.0;56;78;76;2000;0.625;100.0;0
314;7600.0;70;53;90;700;1.0;180.0;0
315;900.0;46;51;66;300;3.5;70.0;0
316;2400.0;36;263;56;200;1.0;160.0;0
317;700.0;61;79;81;3500;0.5;120.0;0
318;1100.0;46;61;66;700;1.0;150.0;1
319;10500.0;52;58;72;300;1.0;150.0;0
320;2600.0;64;60;84;500;0.5;100.0;1
321;2100.0;69;86;89;400;0.3333333333333333;170.0;0
322;3500.0;53;243;73;200;1.0;160.0;0
323;16700.0;69;64;89;2300;1.1428571428571428;150.0;0
324;600.0;73;62;93;600;0.8;100.0;0
325;1000.0;33;62;53;500;0.75;125.0;0
326;10300.0;50;153;70;100;1.0;150.0;0
327;3400.0;48;55;68;200;1.0;200.0;0
328;3700.0;43;155;63;100;1.0;155.0;0
329;4700.0;61;85;81;3500;0.875;120.0;0
330;800.0;62;796;82;700;1.0;120.0;0
331;3000.0;47;737;67;700;0.5;230.0;1
332;1400.0;26;550;46;500;2.0;150.0;0
333;900.0;53;231;73;400;4.0;110.0;1
334;12700.0;54;82;74;400;1.75;360.0;0
335;4100.0;56;187;76;100;1.0;180.0;0
336;2500.0;64;246;84;500;2.0;120.0;0
337;28800.0;55;104;75;2500;0.14814814814814814;500.0;0
338;800.0;42;583;62;500;0.5;110.0;0
339;1800.0;40;167;60;200;0.6666666666666666;150.0;0
340;600.0;44;273;64;2500;1.5;120.0;1
341;3700.0;35;62;55;3200;0.6666666666666666;250.0;0
342;3200.0;62;3144;82;3100;2.0;170.0;0
343;600.0;42;646;62;600;0.3333333333333333;200.0;1
344;1100.0;35;434;55;400;1.0;160.0;0
345;4500.0;56;65;76;1800;0.6111111111111112;100.0;1
346;1500.0;57;55;77;700;1.75;140.0;1
347;1100.0;72;164;92;500;2.5;100.0;1
348;2600.0;54;63;74;400;0.5;120.0;1
349;3500.0;31;64;51;400;0.4;200.0;0
350;1800.0;51;402;71;400;2.0;170.0;0
351;1600.0;54;55;74;500;2.5;200.0;0
352;14000.0;45;62;65;500;1.5;300.0;0
353;11600.0;53;496;73;600;0.5;250.0;1
354;2700.0;64;59;84;400;0.6666666666666666;120.0;0
355;2600.0;69;51;89;700;2.0;150.0;0
356;900.0;40;62;60;400;2.3333333333333335;130.0;1
357;900.0;47;100;67;500;1.4;150.0;0
358;3500.0;44;456;64;400;2.0;170.0;0
359;2800.0;48;66;68;500;3.0;150.0;1
360;3500.0;66;52;86;500;1.0;120.0;0
361;1200.0;51;162;71;100;1.0;300.0;0
362;700.0;47;83;67;600;0.6;80.0;0
363;800.0;61;2223;81;3000;0.3333333333333333;150.0;0
364;3300.0;42;63;62;200;0.2857142857142857;250.0;0
365;2200.0;71;431;91;400;1.0;100.0;0
366;3100.0;32;457;52;600;2.0;120.0;0
367;5000.0;40;63;60;600;3.5;250.0;1
368;4100.0;40;63;60;400;2.0;200.0;0
369;1800.0;38;179;58;100;1.0;200.0;0
370;1900.0;45;124;65;3000;1.0;160.0;0
371;1800.0;48;61;68;1900;0.625;120.0;1
373;8300.0;67;61;87;2100;1.1428571428571428;100.0;0
374;12800.0;69;60;89;2300;0.5909090909090909;160.0;1
375;6000.0;68;65;88;500;1.3636363636363635;150.0;0
376;3100.0;56;51;76;700;1.0;220.0;1
377;1000.0;56;54;76;400;1.0;120.0;1
378;600.0;56;54;76;400;1.3333333333333333;120.0;1
379;2000.0;60;159;80;100;1.0;115.0;0
380;7600.0;61;866;81;2800;0.5;250.0;0
381;15500.0;46;1261;66;2400;1.0;250.0;1
382;2300.0;67;549;87;600;2.0;170.0;0
383;1000.0;36;61;56;500;0.5;200.0;1
384;3100.0;56;64;76;2600;0.9523809523809523;70.0;1
385;3700.0;53;70;73;500;0.6666666666666666;220.0;0
386;5100.0;49;120;69;100;1.0;250.0;0
387;2300.0;70;71;90;2500;1.8571428571428572;150.0;0
388;1700.0;41;57;61;400;0.5;190.0;0
389;2400.0;45;719;65;700;1.0;120.0;1
390;4100.0;64;371;84;500;1.0;300.0;0
391;1400.0;64;433;84;400;1.0;200.0;0
392;3400.0;42;53;62;500;2.0;200.0;0
393;3900.0;55;84;75;300;0.6666666666666666;100.0;1
394;9500.0;56;74;76;2200;1.105263157894737;175.0;1
395;9000.0;56;71;76;2300;2.25;225.0;1
396;1500.0;48;68;68;500;0.8;75.0;1
397;4300.0;53;2283;73;2200;0.3333333333333333;200.0;0
398;3400.0;56;78;76;3000;0.6428571428571429;130.0;0
399;3700.0;54;775;74;700;0.2;250.0;0
400;7800.0;63;57;83;200;0.6;250.0;0
401;1900.0;36;464;56;400;0.6666666666666666;220.0;0
402;3500.0;55;191;75;100;0.5;300.0;0
403;3600.0;50;134;70;100;1.0;100.0;0
404;900.0;39;79;59;2200;8.0;70.0;1
405;500.0;47;154;67;100;0.5;100.0;0
406;3400.0;49;82;69;600;0.5;200.0;0
407;3400.0;66;78;86;400;1.0;185.0;0
408;7100.0;70;154;90;100;1.0;200.0;0
409;2800.0;61;65;81;3100;0.9090909090909091;150.0;0
410;800.0;64;79;84;1900;0.7368421052631579;120.0;1
411;2200.0;52;70;72;200;0.42857142857142855;100.0;1
412;5200.0;76;58;96;200;0.5;350.0;1
413;4200.0;41;52;61;400;3.0;250.0;0
414;1400.0;66;79;86;2900;1.0;100.0;0
415;100.0;61;80;81;3200;0.85;30.0;1
416;2000.0;46;64;66;500;1.0;500.0;0
417;200.0;67;52;87;800;0.8;70.0;1
418;9900.0;51;582;71;500;2.0;430.0;0
419;900.0;57;70;77;1200;0.9333333333333333;100.0;1
420;3800.0;40;135;60;100;1.0;200.0;0
421;1600.0;52;78;72;500;1.3333333333333333;150.0;0
422;3400.0;62;135;82;100;0.3333333333333333;200.0;0
423;12700.0;69;80;89;400;0.8888888888888888;200.0;0
424;3000.0;38;197;58;100;1.0;250.0;0
425;1900.0;53;414;73;2100;0.3333333333333333;162.02;0
426;900.0;44;2423;64;2400;2.0;300.0;0
427;24200.0;49;3971;69;3900;1.0;100.0;0
428;5400.0;56;2210;76;2200;0.25;220.0;0
429;7000.0;42;60;62;500;1.5;500.0;0
430;1200.0;76;3305;96;3300;1.0;175.0;0
431;3900.0;37;79;57;1300;0.631578947368421;120.0;0
432;11800.0;43;80;63;300;0.29411764705882354;350.0;0
433;3900.0;39;526;59;400;0.6666666666666666;150.0;0
434;800.0;55;506;75;700;0.5;120.0;0
435;3100.0;34;2729;54;2700;2.0;170.0;0
436;1800.0;36;137;56;100;2.0;150.0;0
437;4100.0;56;124;76;100;1.0;130.0;0
438;3700.0;52;137;72;100;0.3333333333333333;200.0;0
439;2100.0;71;77;91;300;0.8571428571428571;100.0;0
440;1400.0;67;655;87;600;0.5;120.0;0
441;7300.0;57;88;77;600;0.75;150.0;0
442;12300.0;69;62;89;500;2.0;385.0;1
443;4600.0;71;81;91;600;0.6;200.0;1
444;700.0;55;62;75;500;1.0;354.51;0
445;5300.0;51;751;71;700;0.3333333333333333;250.0;0
446;1300.0;76;70;96;600;0.4;150.0;0
447;5200.0;79;84;99;100;0.6666666666666666;200.0;0
448;2000.0;61;68;81;2800;0.6666666666666666;200.0;1
449;13100.0;73;125;93;100;2.0;370.0;0
450;2400.0;59;51;79;500;0.6666666666666666;200.0;1
451;1800.0;56;62;76;2700;1.6666666666666667;225.0;1
452;11400.0;47;1985;67;1900;2.0;260.0;0
453;4000.0;39;71;59;1500;0.17857142857142858;150.0;0
454;1600.0;43;84;63;500;7.0;130.0;1
455;1900.0;33;644;53;800;1.0;160.0;0
456;24800.0;56;73;76;1800;0.5454545454545454;250.0;1
457;1400.0;66;406;86;400;2.0;120.0;0
458;2300.0;66;217;86;400;3.0;170.0;0
459;3200.0;58;1021;78;1000;2.0;120.0;0
460;400.0;45;92;65;400;9.0;100.0;1
461;3200.0;63;115;83;300;3.0;200.0;0
462;1200.0;63;108;83;400;4.0;200.0;0
463;900.0;61;402;81;400;1.0;150.0;1
464;1200.0;65;72;85;1600;0.4166666666666667;150.0;0
465;2500.0;37;98;57;400;2.0;200.0;1
466;3400.0;38;112;58;100;3.0;300.0;0
467;2400.0;51;115;71;100;1.0;140.0;1
468;18400.0;51;891;71;800;2.0;400.0;0
469;4500.0;44;127;64;100;1.0;500.0;0
470;3300.0;49;389;69;300;1.0;150.0;1
471;1600.0;47;249;67;200;0.5;135.0;1
472;2400.0;55;584;75;400;1.0;180.0;1
473;1700.0;70;522;90;500;1.0;160.0;0
474;15600.0;58;51;78;400;2.3333333333333335;350.0;1
475;1400.0;54;144;74;400;3.0;210.0;1
476;400.0;58;53;78;400;3.5;120.0;0
477;3600.0;42;67;62;400;0.6666666666666666;100.0;1
478;1900.0;51;94;71;400;3.0;200.0;0
479;1600.0;61;3050;81;3000;1.0;200.0;0
480;1300.0;54;86;74;1900;2.25;110.0;1
481;5800.0;43;103;63;200;8.0;150.0;0
482;5800.0;48;101;68;700;4.0;300.0;0
483;3200.0;49;187;69;300;2.0;120.0;1
484;800.0;44;52;64;400;1.0;125.0;0
485;6800.0;48;96;68;500;8.0;275.0;0
486;2900.0;76;1160;96;1400;1.0;220.0;1
487;1200.0;56;92;76;1500;0.25;120.0;0
488;1500.0;61;62;81;200;0.875;110.0;0
489;2700.0;52;54;72;600;3.0;170.0;1
490;1800.0;46;189;66;500;3.0;150.0;0
491;200.0;64;64;84;1200;1.1333333333333333;30.0;1
492;6000.0;43;221;63;200;0.08333333333333333;200.0;0
493;1600.0;44;90;64;600;2.0;150.0;0
494;2500.0;41;438;61;400;1.0;180.0;0
495;2600.0;44;169;64;500;2.0;170.0;0
496;2400.0;55;372;75;500;1.0;200.0;0
497;2400.0;63;276;83;600;1.0;170.0;0
498;800.0;63;417;83;600;1.0;100.0;0
499;700.0;63;622;83;600;1.0;100.0;0
500;4000.0;36;169;56;300;4.0;140.0;0
501;2800.0;56;217;76;300;2.0;150.0;0
502;600.0;32;79;52;2100;0.875;100.0;0
503;800.0;75;140;95;300;5.0;100.0;1
504;3700.0;50;122;70;100;1.0;160.0;1
505;500.0;61;73;81;3400;0.5;60.0;0
506;900.0;44;559;64;700;1.0;250.0;0
507;10200.0;54;133;74;100;1.0;400.0;0
508;6400.0;33;133;53;100;1.0;500.0;0
509;3900.0;59;122;79;100;2.0;180.0;0
510;4300.0;42;56;62;400;1.5;120.0;1
511;1100.0;42;56;62;500;1.0;140.0;1
512;500.0;42;56;62;400;1.0;100.0;1
514;1500.0;40;195;60;400;2.0;150.0;0
515;1000.0;56;77;76;2700;0.6;120.0;1
516;1400.0;42;104;62;600;6.0;120.0;1
517;1300.0;74;135;94;300;3.0;150.0;0
518;4200.0;49;105;69;700;2.0;300.0;0
519;1100.0;73;287;93;500;0.5;185.0;0
520;2100.0;56;94;76;500;4.0;170.0;0
521;7400.0;51;106;71;300;4.0;150.0;1
522;3000.0;46;408;66;500;1.0;185.0;0
523;800.0;53;363;73;600;1.0;110.0;0
524;600.0;89;447;109;400;2.0;150.0;1
525;900.0;38;71;58;1100;0.7647058823529411;55.0;1
526;3400.0;57;55;77;700;6.0;150.0;0
527;200.0;56;73;76;4900;0.5909090909090909;20.0;1
528;13200.0;66;529;86;500;2.0;360.0;0
529;3400.0;64;56;84;400;2.0;300.0;1
